,#00,#01,#02,#03,#04,#05,#06,#07,#08,#09,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19
0002391978.txt,3.660322108355596e-05,0.484786270691632,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05,0.0041258355274932015,0.5104656390224543,3.660322108355596e-05,3.660322108355596e-05,3.660322108355596e-05
0002394828.txt,4.1981528127833285e-05,0.9992023509655713,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05,4.1981528127833285e-05
0002391950.txt,2.4230676036106632e-05,0.9995396171553141,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05,2.4230676036106632e-05
0002391944.txt,4.8030739673763075e-05,0.9990874159461987,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05,4.8030739673763075e-05
0002391993.txt,3.218538783431699e-05,0.9347395343506529,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,0.059030653283962835,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,0.005682660772200993,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05,3.218538783431699e-05
0002392242.txt,2.1088148460690476e-05,0.999599325179247,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.108814846069049e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05,2.1088148460690476e-05
0002392256.txt,1.8968133535683442e-05,0.5353353095245283,1.8968133535683442e-05,0.4643232640718294,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05,1.8968133535683442e-05
0002391987.txt,1.2259409096564471e-05,0.9973351235683618,0.002444207067900023,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05,1.2259409096564471e-05
0002394394.txt,6.724949562965116e-05,0.9987222595830368,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05,6.724949562965116e-05
0002392083.txt,2.5335697998541965e-05,0.4528108010829146,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,0.040641487488445344,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,0.5061170045626648,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05,2.5335697998541965e-05
0002392097.txt,3.271180896332677e-05,0.999378475629697,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05,3.271180896332677e-05
0002392068.txt,7.209805335266212e-05,0.267880494950626,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,0.15885167756628268,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,7.209805335266212e-05,0.5720421605760961,7.209805335266212e-05,7.209805335266212e-05
0002392040.txt,7.479431563259352e-05,0.9175249631050757,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,0.05884973220289814,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,0.022353801326272318,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05,7.479431563259352e-05
0002392054.txt,4.137360364098922e-05,0.21911974121088945,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,0.7801355339235729,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05,4.137360364098922e-05
0002392108.txt,5.82411182299772e-05,0.9988934187536306,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05,5.82411182299772e-05
0002392134.txt,6.983240223495257e-05,0.9986731843575362,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05,6.983240223495257e-05
0002392120.txt,2.8719126938798473e-05,0.829886465329732,2.8719126938798473e-05,2.8719126938798473e-05,2.8719126938798473e-05,2.8719126938798473e-05,2.8719126938798473e-05,0.11863578520337187,2.8719126938798473e-05,2.8719126938798473e-05,2.8719126938798473e-05,0.004027080838480608,2.8719126938798473e-05,2.8719126938798473e-05,2.8719126938798473e-05,0.00818894351629978,0.03883093820803392,2.8719126938798473e-05,2.8719126938798473e-05,2.8719126938798473e-05
0002393997.txt,1.9716088328130247e-05,0.5709524324968626,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05,0.4286926779132313,1.9716088328130247e-05,1.9716088328130247e-05,1.9716088328130247e-05
